Code,Label,Variable
2900,Missouri,BPLD
3000,Montana,BPLD
3100,Nebraska,BPLD
3200,Nevada,BPLD
3300,New Hampshire,BPLD
3400,New Jersey,BPLD
3500,New Mexico,BPLD
3510,New Mexico Territory,BPLD
3600,New York,BPLD
3700,North Carolina,BPLD
3800,North Dakota,BPLD
3900,Ohio,BPLD
4000,Oklahoma,BPLD
4010,Indian Territory,BPLD
4100,Oregon,BPLD
4200,Pennsylvania,BPLD
4400,Rhode Island,BPLD
4500,South Carolina,BPLD
4600,South Dakota,BPLD
4610,Dakota Territory,BPLD
4700,Tennessee,BPLD
4800,Texas,BPLD
4900,Utah,BPLD
4910,Utah Territory,BPLD
5000,Vermont,BPLD
5100,Virginia,BPLD
5300,Washington,BPLD
5400,West Virginia,BPLD
5500,Wisconsin,BPLD
5600,Wyoming,BPLD
5610,Wyoming Territory,BPLD
9000,Native American,BPLD
9900,"United States, ns",BPLD
10000,American Samoa,BPLD
10010,"Samoa, 1940-1950",BPLD
10500,Guam,BPLD
11000,Puerto Rico,BPLD
11500,U.S. Virgin Islands,BPLD
11510,St. Croix,BPLD
11520,St. John,BPLD
11530,St. Thomas,BPLD
12000,Other US Possessions:,BPLD
12010,Johnston Atoll,BPLD
12020,Midway Islands,BPLD
12030,Wake Island,BPLD
12040,Other US Caribbean Islands,BPLD
12041,Navassa Island,BPLD
12050,Other US Pacific Islands,BPLD
12051,Baker Island,BPLD
12052,Howland Island,BPLD
12053,Jarvis Island,BPLD
12054,Kingman Reef,BPLD
12055,Palmyra Atoll,BPLD
12056,Canton and Enderbury Island,BPLD
12090,"US outlying areas, ns",BPLD
12091,"US possessions, ns",BPLD
12092,"US territory, ns",BPLD
15000,Canada,BPLD
15010,English Canada,BPLD
15011,British Columbia,BPLD
15013,Alberta,BPLD
15015,Saskatchewan,BPLD
15017,Northwest,BPLD
15019,Ruperts Land,BPLD
15020,Manitoba,BPLD
15021,Red River,BPLD
15030,Ontario/Upper Canada,BPLD
15031,Upper Canada,BPLD
15032,Canada West,BPLD
15040,New Brunswick,BPLD
15050,Nova Scotia,BPLD
15051,Cape Breton,BPLD
15052,Halifax,BPLD
15060,Prince Edward Island,BPLD
15070,Newfoundland,BPLD
15080,French Canada,BPLD
15081,Quebec,BPLD
15082,Lower Canada,BPLD
15083,Canada East,BPLD
15500,St. Pierre and Miquelon,BPLD
16000,Atlantic Islands,BPLD
16010,Bermuda,BPLD
16020,Cape Verde,BPLD
16030,Falkland Islands,BPLD
16040,Greenland,BPLD
16050,St. Helena and Ascension,BPLD
16060,Canary Islands,BPLD
19900,"North America, ns",BPLD
20000,Mexico,BPLD
21000,Central America,BPLD
21010,Belize/British Honduras,BPLD
21020,Costa Rica,BPLD
21030,El Salvador,BPLD
21040,Guatemala,BPLD
21050,Honduras,BPLD
21060,Nicaragua,BPLD
21070,Panama,BPLD
21071,Canal Zone,BPLD
21090,"Central America, ns",BPLD
25000,Cuba,BPLD
26000,West Indies,BPLD
26010,Dominican Republic,BPLD
26020,Haiti,BPLD
26030,Jamaica,BPLD
26040,British West Indies,BPLD
26041,Anguilla,BPLD
26042,Antigua-Barbuda,BPLD
26043,Bahamas,BPLD
26044,Barbados,BPLD
26045,British Virgin Islands,BPLD
26046,Anegada,BPLD
26047,Cooper,BPLD
26048,Jost Van Dyke,BPLD
26049,Peter,BPLD
26050,Tortola,BPLD
26051,Virgin Gorda,BPLD
26052,"Br. Virgin Islands, ns",BPLD
26053,Cayman Islands,BPLD
26054,Dominica,BPLD
26055,Grenada,BPLD
26056,Montserrat,BPLD
26057,St. Kitts-Nevis,BPLD
26058,St. Lucia,BPLD
26059,St. Vincent,BPLD
26060,Trinidad and Tobago,BPLD
26061,Turks and Caicos,BPLD
26069,"Br. Virgin Islands, ns",BPLD
26070,Other West Indies,BPLD
26071,Aruba,BPLD
26072,Netherlands Antilles,BPLD
26073,Bonaire,BPLD
26074,Curacao,BPLD
26075,Dutch St. Maarten,BPLD
26076,Saba,BPLD
26077,St. Eustatius,BPLD
26079,"Dutch Caribbean, ns",BPLD
26080,French St. Maarten,BPLD
26081,Guadeloupe,BPLD
26082,Martinique,BPLD
26083,St. Barthelemy,BPLD
26089,"French Caribbean, ns",BPLD
26090,"Antilles, ns",BPLD
26091,"Caribbean, ns",BPLD
26092,"Latin America, ns",BPLD
26093,"Leeward Islands, ns",BPLD
26094,"West Indies, ns",BPLD
26095,"Windward Islands, ns",BPLD
29900,"Americas, ns",BPLD
30000,South America,BPLD
30005,Argentina,BPLD
30010,Bolivia,BPLD
30015,Brazil,BPLD
30020,Chile,BPLD
30025,Colombia,BPLD
30030,Ecuador,BPLD
30035,French Guiana,BPLD
30040,Guyana/British Guiana,BPLD
30045,Paraguay,BPLD
30050,Peru,BPLD
30055,Suriname,BPLD
30060,Uruguay,BPLD
30065,Venezuela,BPLD
30090,"South America, ns",BPLD
30091,"South and Central America, n.s.",BPLD
40000,Denmark,BPLD
40010,Faeroe Islands,BPLD
40100,Finland,BPLD
40200,Iceland,BPLD
40300,"Lapland, ns",BPLD
40400,Norway,BPLD
40410,Svalbard and Jan Meyen,BPLD
40411,Svalbard,BPLD
40412,Jan Meyen,BPLD
40500,Sweden,BPLD
41000,England,BPLD
41010,Channel Islands,BPLD
41011,Guernsey,BPLD
41012,Jersey,BPLD
41020,Isle of Man,BPLD
41100,Scotland,BPLD
41200,Wales,BPLD
41300,"United Kingdom, ns",BPLD
41400,Ireland,BPLD
41410,Northern Ireland,BPLD
41900,"Northern Europe, ns",BPLD
42000,Belgium,BPLD
42100,France,BPLD
42110,Alsace-Lorraine,BPLD
42111,Alsace,BPLD
42112,Lorraine,BPLD
42200,Liechtenstein,BPLD
42300,Luxembourg,BPLD
42400,Monaco,BPLD
42500,Netherlands,BPLD
42600,Switzerland,BPLD
42900,"Western Europe, ns",BPLD
43000,Albania,BPLD
43100,Andorra,BPLD
43200,Gibraltar,BPLD
43300,Greece,BPLD
43310,Dodecanese Islands,BPLD
43320,Turkey Greece,BPLD
43330,Macedonia,BPLD
43400,Italy,BPLD
43500,Malta,BPLD
43600,Portugal,BPLD
43610,Azores,BPLD
43620,Madeira Islands,BPLD
43630,Cape Verde Islands,BPLD
43640,St. Miguel,BPLD
43700,San Marino,BPLD
43800,Spain,BPLD
43900,Vatican City,BPLD
44000,"Southern Europe, ns",BPLD
45000,Austria,BPLD
45010,Austria-Hungary,BPLD
45020,Austria-Graz,BPLD
45030,Austria-Linz,BPLD
45040,Austria-Salzburg,BPLD
45050,Austria-Tyrol,BPLD
45060,Austria-Vienna,BPLD
45070,Austria-Kaernsten,BPLD
45080,Austria-Neustadt,BPLD
45100,Bulgaria,BPLD
45200,Czechoslovakia,BPLD
45210,Bohemia,BPLD
45211,Bohemia-Moravia,BPLD
45212,Slovakia,BPLD
45213,Czech Republic,BPLD
45300,Germany,BPLD
45301,Berlin,BPLD
45302,West Berlin,BPLD
45303,East Berlin,BPLD
45310,West Germany,BPLD
45311,Baden,BPLD
45312,Bavaria,BPLD
45313,Braunschweig,BPLD
