,YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STATEFIP,GQ,PERNUM,PERWT,SEX,AGE,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,NATIVITY,CITIZEN,YRSUSA2,LANGUAGE,LANGUAGED,SPEAKENG,RACESING,RACESINGD,OCC1950,IND1950,OCCSCORE,HISTID
281684,1900,190004,1075889,1.0,,8,1,1,1.0,1,27,1,100,0,0,19,1900,4,0.0,0.0,,,2.0,1.0,10.0,970,348,20,99916F09-9040-4045-96AC-D997C0B87CC6
1735744,1920,192003,2074205,1.0,,8,1,2,1.0,2,35,1,100,0,0,26,2600,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,6AB780E7-2A9C-4D31-8DBE-D14E42889038
2272300,1920,192003,2231205,1.0,,8,1,2,1.0,1,25,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1.0,10.0,290,816,42,D22180B9-4563-4B87-8444-A54D9A083B12
3854679,1940,194002,3845811,1.0,,8,1,4,1.0,1,16,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,73ADDB4A-0CCD-449F-ACBB-FC6AC53E0CA1
2442777,1920,192003,2276431,1.0,,8,1,1,1.0,1,25,1,100,0,0,31,3100,1,0.0,0.0,,,2.0,1.0,10.0,450,736,36,02229775-CB86-4BFE-8D64-DE5C927D1748
1345438,1910,191004,1679725,1.0,,8,1,1,1.0,1,36,1,100,0,0,29,2900,1,0.0,0.0,1.0,100.0,2.0,1.0,10.0,290,246,42,79C59EDB-BEA8-47BF-B23D-B3D46B5621A8
770670,1900,190004,1196295,1.0,,8,1,5,1.0,2,4,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,76282112-9DB5-4C0A-B87E-517EC9A74EFF
198276,1880,188003,663866,1.0,,8,1,1,1.0,2,27,1,100,1,100,35,3500,1,,,,,,1.0,10.0,980,0,0,deedfe01-7fcb-4a6b-aee7-f3e2ae0ca1b1
4481981,1940,194002,4033783,1.0,,8,1,4,1.0,1,19,1,100,0,0,8,800,0,0.0,,,,,,,515,659,34,9E52E91F-B039-48CA-ACD6-239BF9E09B26
3187938,1930,193004,3114972,1.0,,8,1,4,1.0,1,14,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,14B74C31-7C00-4BDA-B198-DE9B2D830F81
2358328,1920,192003,2254130,1.0,,8,1,3,1.0,2,7,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,2B1BEFCE-637B-47A5-91B4-F218D00B0C7C
4101959,1940,194002,3916446,1.0,,8,1,1,1.0,2,70,1,100,0,0,27,2700,0,0.0,,,,,,,982,982,0,B1E05715-E849-420F-8C92-7B3EC99F374E
1863944,1920,192003,2114787,1.0,,8,4,23,1.0,2,50,1,100,0,0,453,45314,5,3.0,5.0,,,2.0,1.0,10.0,633,646,12,C95F0578-DCB2-489D-B756-1C2E8051DE60
4323439,1940,194002,3982787,1.0,,8,1,1,1.0,1,53,1,100,0,0,17,1700,0,0.0,,,,,,,820,105,9,5D261B0B-3202-4F57-9331-F42F82799BE7
1924229,1920,192003,2139110,1.0,,8,4,5,1.0,1,29,1,100,0,0,46,4600,1,0.0,0.0,,,2.0,1.0,10.0,490,667,24,91FF03D9-BC2E-46B5-B2DC-501138B5D475
2372507,1920,192003,2257972,1.0,,8,1,1,1.0,1,27,1,100,0,0,450,45000,5,4.0,2.0,,,2.0,1.0,10.0,683,636,25,1A5834AF-6702-49C8-A0B6-6223F97FCB3F
2283201,1920,192003,2233722,1.0,,8,1,1,1.0,1,71,1,100,0,0,19,1900,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,E2B74217-C801-490C-9251-B890BED8ED4B
2579230,1930,193004,2940117,1.0,,8,1,6,1.0,1,13,1,100,0,0,29,2900,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,36B457E7-3AA1-4D2A-9E02-2556B258039B
1699359,1920,192003,2064268,1.0,,8,1,2,1.0,2,15,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,F5EB9507-E1DA-4C73-A068-F55A6C9F8AD2
3175067,1930,193004,3112064,1.0,,8,1,2,1.0,2,22,1,100,0,0,8,800,2,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,42B9DF24-BFE3-4C27-8264-20BF43ECB8DB
2693582,1930,193004,2970421,1.0,,8,1,4,1.0,1,32,1,100,0,0,39,3900,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,979,979,0,07326159-18AE-4DB1-82D0-D7FB344A9F3B
3533255,1930,193004,3204235,1.0,,8,1,1,1.0,1,65,1,100,0,0,465,46500,5,2.0,5.0,2.0,200.0,2.0,1.0,10.0,999,0,0,96BA8F30-87C9-4BF4-BAB4-7CAAC9ABED3C
620279,1900,190004,1158086,1.0,,8,1,1,1.0,1,37,1,100,0,0,6,600,2,0.0,0.0,,,2.0,1.0,10.0,979,0,0,DC5E3BA1-3EA9-4D32-81D0-0EA3FEB12654
2433092,1920,192003,2274081,1.0,,8,1,5,1.0,1,12,1,100,0,0,19,1900,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,46C1AA3D-5AD7-4A37-B197-6114A80112F8
1901925,1920,192003,2132744,1.0,,8,1,4,1.0,2,18,1,100,0,0,46,4600,4,0.0,0.0,,,2.0,1.0,10.0,999,0,0,CD7C673C-1956-4F5D-89F2-D31B12D51CAE
360330,1900,190004,1095215,1.0,,8,1,4,1.0,1,0,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,8598EE26-B8E9-49C9-A941-F24E1C2B4C69
683960,1900,190004,1173739,1.0,,8,1,4,1.0,2,5,1,100,0,0,18,1800,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,78403D87-5309-41E7-9CB4-56472E44B4D1
916631,1910,191004,1568352,1.0,,8,2,3,1.0,2,5,2,210,0,0,47,4700,1,0.0,0.0,1.0,100.0,0.0,2.0,21.0,999,0,0,F7E035A9-60A2-4C92-B663-A17B8EE93381
2895310,1930,193004,3031898,1.0,,8,1,3,1.0,1,41,1,100,0,0,42,4200,4,0.0,0.0,0.0,0.0,2.0,1.0,10.0,740,849,19,A9610CE4-BEBA-4075-9442-A8345D2CC305
4036640,1940,194002,3898430,1.0,,8,1,2,1.0,2,21,1,100,0,0,8,800,0,0.0,,,,,,,990,997,0,2E082E61-EB6E-42B1-884B-E92BAECB79DF
4468026,1940,194002,4029125,1.0,,8,1,5,1.0,2,20,1,100,0,0,20,2000,0,0.0,,,,,,,720,826,6,B876A468-D6E2-4702-B141-DD9AFAE9ADC7
1557941,1910,191004,1735154,1.0,,8,1,3,1.0,1,3,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,63AED32B-247C-46BB-8D8D-4DEAC69FB9E8
4099581,1940,194002,3915780,1.0,,8,1,5,1.0,1,6,1,100,0,0,8,800,0,0.0,,,,,,,999,0,0,9A305601-6B11-4928-A50E-4DE9970B439A
3826771,1940,194002,3837631,1.0,,8,1,3,1.0,1,20,1,100,0,0,8,800,0,0.0,,,,,,,770,888,19,87122A74-CB09-4EC6-A54E-3A5851F220A6
2253866,1920,192003,2226572,1.0,,8,1,2,1.0,2,23,1,100,0,0,26,2600,3,0.0,0.0,,,2.0,1.0,10.0,999,0,0,5B7CB5EF-4C81-45AA-9393-265491270FAB
532204,1900,190004,1137354,1.0,,8,1,5,1.0,1,5,1,100,0,0,42,4200,4,0.0,0.0,,,0.0,1.0,10.0,999,0,0,6F6F41CA-A35B-42DB-B693-E90D234EE737
1574473,1910,191004,1739156,1.0,,8,1,3,1.0,2,1,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,1099EB45-29EA-421D-9439-EDF516144AB2
3471255,1930,193004,3189976,1.0,,8,1,5,1.0,2,15,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,2B5ADB6F-1553-4FE2-8ED3-2D6AA2A6BB95
3222162,1930,193004,3123621,1.0,,8,1,6,1.0,2,4,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,FCAE0EE9-594D-41FA-8BC7-E7DA9AC18506
