,YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STATEFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,NATIVITY,CITIZEN,YRSUSA2,LANGUAGE,LANGUAGED,SPEAKENG,RACESING,RACESINGD,OCC1950,IND1950,OCCSCORE
98099,1930,193001,31449,100.95,1930000314491.0,8,24320806102.0,1,5,100.95,1,1,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
38830,1900,190001,58105,19.4,1900000581051.0,8,12420800000.0,1,5,19.4,1,10,1,100,0,0,8,800,4,0.0,0.0,,,2.0,1,10,983,0,0
164015,1940,194001,366217,100.0,1940003662171.0,8,584811.0,1,2,100.0,2,47,1,100,0,0,18,1800,0,0.0,,,,,1,10,999,0,0
141553,1930,193002,159655,19.73,1930001596552.0,8,24720808501.0,1,1,19.73,1,45,1,100,0,0,39,3900,1,0.0,0.0,0.0,0.0,2.0,1,10,555,409,25
79548,1910,191003,21117101,71.71,1910211171011.0,8,11510803102.0,1,5,71.71,2,18,1,100,0,0,8,800,1,0.0,0.0,1.0,100.0,2.0,1,10,643,846,15
135629,1930,193002,158153,19.91,1930001581532.0,8,24510807102.0,1,3,19.91,2,35,1,100,0,0,48,4800,1,0.0,0.0,0.0,0.0,2.0,1,10,720,826,6
8557,1880,188002,90265,10.02,,8,,1,1,10.02,1,30,1,100,0,0,29,2900,1,,,,,,1,10,650,239,24
23782,1880,188002,94777,10.15,,8,,1,3,10.16,1,14,1,100,0,0,23,2300,1,,,,,,1,10,983,0,0
35253,1900,190001,57220,18.62,1900000572201.0,8,12210800002.0,1,2,18.62,2,24,1,100,0,0,31,3100,1,0.0,0.0,,,2.0,1,10,999,0,0
150835,1930,193002,162188,20.42,1930001621882.0,8,25120812301.0,1,3,20.42,2,22,1,100,0,0,31,3100,4,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
60784,1900,190003,1060101,100.86,1900010601011.0,8,12520806502.0,1,2,100.86,2,26,1,100,0,0,8,800,4,0.0,0.0,,,2.0,1,10,995,0,0
129672,1930,193002,156588,19.99,1930001565882.0,8,24220805101.0,1,1,19.99,1,35,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,290,716,42
72655,1910,191003,1388001,71.71,1910013880011.0,8,11510803101.0,1,1,71.71,1,34,1,100,0,0,410,41000,5,2.0,5.0,1.0,100.0,2.0,1,10,970,318,20
109017,1930,193002,150246,19.33,1930001502462.0,8,23120802100.0,1,1,19.33,1,42,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,0.0,1,10,564,246,23
147360,1930,193002,161273,20.48,1930001612732.0,8,25010810101.0,1,2,20.48,2,26,1,100,0,0,420,42000,5,2.0,5.0,4.0,470.0,2.0,1,10,999,0,0
114814,1930,193002,151900,20.05,1930001519002.0,8,23420803102.0,1,2,20.05,2,43,1,100,0,0,31,3100,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
71254,1910,191003,1356601,71.71,1910013566011.0,8,11210800502.0,1,1,71.71,1,29,1,100,0,0,26,2600,1,0.0,0.0,1.0,100.0,2.0,1,10,100,105,14
55499,1900,190002,1063901,100.0,1900010639011.0,8,12610806901.0,1,5,100.0,2,4,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1,10,999,0,0
60728,1900,190003,1058101,100.86,1900010581011.0,8,12520806501.0,1,6,100.86,2,3,1,100,0,0,8,800,4,0.0,0.0,,,0.0,1,10,999,0,0
