,variable,year,population
302,Vermont,1900,2062
303,Connecticut,1900,1638
304,New Jersey,1900,2521
305,Tennessee,1900,4234
306,New Mexico,1900,10244
307,New Hampshire,1900,935
308,Maine,1900,2869
309,Massachusetts,1900,4604
310,Sweden,1900,10842
311,Texas,1900,3608
312,Montana,1900,495
313,France,1900,1175
314,Idaho,1900,348
315,Norway,1900,1159
316,Georgia,1900,1804
317,Rhode Island,1900,521
318,Wyoming,1900,1306
319,Poland,1900,618
320,Romania,1900,28
321,Denmark,1900,2065
322,Hungary,1900,564
323,Czechoslovakia,1900,339
324,Arkansas,1900,1976
325,China,1900,585
326,Mississippi,1900,907
327,District of Columbia,1900,696
328,Oregon,1900,467
329,Florida,1900,177
330,Louisiana,1900,739
331,Italy,1900,6979
332,Portugal,1900,31
333,North Carolina,1900,1871
334,Turkey,1900,34
335,Luxembourg,1900,6
336,Netherlands,1900,262
337,Spain,1900,36
338,Oklahoma,1900,990
339,Belgium,1900,172
340,Arizona,1900,203
341,Australia and New Zealand,1900,124
342,India,1900,35
343,Nevada,1900,278
344,AFRICA,1900,14
345,"United States, ns",1900,593
346,Greece,1900,37
347,Japan,1900,56
348,Mexico,1900,331
349,Finland,1900,839
350,Alaska,1900,4
351,Cuba,1900,27
352,SOUTH AMERICA,1900,36
353,Syria,1900,68
354,Atlantic Islands,1900,7
355,West Indies,1900,54
356,"Europe, ns",1900,8
357,North Dakota,1900,167
358,Indonesia,1900,3
359,Philippines,1900,1
360,Yugoslavia,1900,11
361,Hawaii,1900,8
362,Central America,1900,1
363,Thailand,1900,1
364,Iceland,1900,2
365,Iran,1900,1
366,Native American,1900,2
367,"Southwest Asia, nec/ns",1900,19
368,"Asia, nec/ns",1900,8
369,"United Kingdom, ns",1900,1
370,Abroad (unknown) or at sea,1900,3
371,Colorado,1910,236465
372,Pennsylvania,1910,23340
373,New Mexico,1910,12020
374,"United States, ns",1910,6192
375,Texas,1910,6705
376,Iowa,1910,44481
377,Ohio,1910,30750
378,Kansas,1910,37443
379,Missouri,1910,50667
380,North Carolina,1910,2691
381,Kentucky,1910,10130
382,Massachusetts,1910,4806
383,Minnesota,1910,5407
384,Arkansas,1910,3679
385,New York,1910,23961
386,Illinois,1910,50303
387,Indiana,1910,21098
388,Oklahoma,1910,4666
389,Canada,1910,10203
390,Virginia,1910,4590
391,Nebraska,1910,24338
392,Michigan,1910,11097
393,Wisconsin,1910,11821
394,Scotland,1910,4347
395,West Virginia,1910,3274
396,Ireland,1910,8898
397,Finland,1910,1277
398,Germany,1910,17562
399,England,1910,13113
400,Sweden,1910,12674
401,Other USSR/Russia,1910,13206
402,South Dakota,1910,2215
403,Romania,1910,300
404,Utah,1910,2308
405,Tennessee,1910,6267
406,Spain,1910,161
407,Mexico,1910,2688
408,France,1910,1387
409,Denmark,1910,2739
410,Abroad (unknown) or at sea,1910,1809
411,South Carolina,1910,545
412,Alabama,1910,2254
413,Washington,1910,802
414,California,1910,2309
415,Norway,1910,1817
416,New Jersey,1910,2935
417,Maryland,1910,1997
418,Louisiana,1910,1231
419,Maine,1910,2611
420,Wyoming,1910,2149
421,Idaho,1910,586
422,Greece,1910,2040
423,Netherlands,1910,712
424,New Hampshire,1910,946
425,Connecticut,1910,1729
426,Hungary,1910,1493
